id,status,n_drones,coordinator,controller
0,done,2,mpc_central,mpc_agent
1,done,2,mpc_central,mpc_agent_adaptive
2,done,2,dmpc_admm,mpc_agent
3,done,2,dmpc_admm,mpc_agent_adaptive
140,done,2,mpc_central,mpc_agent
141,done,2,mpc_central,mpc_agent_adaptive
142,done,2,dmpc_admm,mpc_agent
143,done,2,dmpc_admm,mpc_agent_adaptive
280,done,2,mpc_central,mpc_agent
281,done,2,mpc_central,mpc_agent_adaptive
282,done,2,dmpc_admm,mpc_agent
283,done,2,dmpc_admm,mpc_agent_adaptive
420,done,2,mpc_central,mpc_agent
421,done,2,mpc_central,mpc_agent_adaptive
422,done,2,dmpc_admm,mpc_agent
423,done,2,dmpc_admm,mpc_agent_adaptive
560,done,2,mpc_central,mpc_agent
561,done,2,mpc_central,mpc_agent_adaptive
562,done,2,dmpc_admm,mpc_agent
563,done,2,dmpc_admm,mpc_agent_adaptive
700,done,2,mpc_central,mpc_agent
701,done,2,mpc_central,mpc_agent_adaptive
702,done,2,dmpc_admm,mpc_agent
703,done,2,dmpc_admm,mpc_agent_adaptive
840,done,2,mpc_central,mpc_agent
841,done,2,mpc_central,mpc_agent_adaptive
842,done,2,dmpc_admm,mpc_agent
843,done,2,dmpc_admm,mpc_agent_adaptive
980,done,2,mpc_central,mpc_agent
981,done,2,mpc_central,mpc_agent_adaptive
982,done,2,dmpc_admm,mpc_agent
983,done,2,dmpc_admm,mpc_agent_adaptive
1120,done,2,mpc_central,mpc_agent
1121,done,2,mpc_central,mpc_agent_adaptive
1122,done,2,dmpc_admm,mpc_agent
1123,done,2,dmpc_admm,mpc_agent_adaptive
1260,done,2,mpc_central,mpc_agent
1261,done,2,mpc_central,mpc_agent_adaptive
1262,done,2,dmpc_admm,mpc_agent
1263,done,2,dmpc_admm,mpc_agent_adaptive
1400,done,2,mpc_central,mpc_agent
1401,done,2,mpc_central,mpc_agent_adaptive
1402,done,2,dmpc_admm,mpc_agent
1403,done,2,dmpc_admm,mpc_agent_adaptive
1540,done,2,mpc_central,mpc_agent
1541,done,2,mpc_central,mpc_agent_adaptive
1542,done,2,dmpc_admm,mpc_agent
1543,done,2,dmpc_admm,mpc_agent_adaptive
1680,done,2,mpc_central,mpc_agent
1681,done,2,mpc_central,mpc_agent_adaptive
1682,done,2,dmpc_admm,mpc_agent
1683,done,2,dmpc_admm,mpc_agent_adaptive
1820,done,2,mpc_central,mpc_agent
1821,done,2,mpc_central,mpc_agent_adaptive
1822,done,2,dmpc_admm,mpc_agent
1823,done,2,dmpc_admm,mpc_agent_adaptive
1960,done,2,mpc_central,mpc_agent
1961,done,2,mpc_central,mpc_agent_adaptive
1962,done,2,dmpc_admm,mpc_agent
1963,done,2,dmpc_admm,mpc_agent_adaptive
2100,done,2,mpc_central,mpc_agent
2101,done,2,mpc_central,mpc_agent_adaptive
2102,done,2,dmpc_admm,mpc_agent
2103,done,2,dmpc_admm,mpc_agent_adaptive
2240,done,2,mpc_central,mpc_agent
2241,done,2,mpc_central,mpc_agent_adaptive
2242,done,2,dmpc_admm,mpc_agent
2243,done,2,dmpc_admm,mpc_agent_adaptive
2380,done,2,mpc_central,mpc_agent
2381,done,2,mpc_central,mpc_agent_adaptive
2382,done,2,dmpc_admm,mpc_agent
2383,done,2,dmpc_admm,mpc_agent_adaptive
2520,done,2,mpc_central,mpc_agent
2521,done,2,mpc_central,mpc_agent_adaptive
2522,done,2,dmpc_admm,mpc_agent
2523,done,2,dmpc_admm,mpc_agent_adaptive
2660,done,2,mpc_central,mpc_agent
2661,done,2,mpc_central,mpc_agent_adaptive
2662,done,2,dmpc_admm,mpc_agent
2663,done,2,dmpc_admm,mpc_agent_adaptive
4,done,3,mpc_central,mpc_agent
5,done,3,mpc_central,mpc_agent_adaptive
6,done,3,dmpc_admm,mpc_agent
7,done,3,dmpc_admm,mpc_agent_adaptive
144,done,3,mpc_central,mpc_agent
145,done,3,mpc_central,mpc_agent_adaptive
146,done,3,dmpc_admm,mpc_agent
147,done,3,dmpc_admm,mpc_agent_adaptive
284,done,3,mpc_central,mpc_agent
285,done,3,mpc_central,mpc_agent_adaptive
286,done,3,dmpc_admm,mpc_agent
287,done,3,dmpc_admm,mpc_agent_adaptive
424,done,3,mpc_central,mpc_agent
425,done,3,mpc_central,mpc_agent_adaptive
426,done,3,dmpc_admm,mpc_agent
427,done,3,dmpc_admm,mpc_agent_adaptive
564,done,3,mpc_central,mpc_agent
565,done,3,mpc_central,mpc_agent_adaptive
566,done,3,dmpc_admm,mpc_agent
567,done,3,dmpc_admm,mpc_agent_adaptive
704,done,3,mpc_central,mpc_agent
705,done,3,mpc_central,mpc_agent_adaptive
706,done,3,dmpc_admm,mpc_agent
707,done,3,dmpc_admm,mpc_agent_adaptive
844,done,3,mpc_central,mpc_agent
845,done,3,mpc_central,mpc_agent_adaptive
846,done,3,dmpc_admm,mpc_agent
847,done,3,dmpc_admm,mpc_agent_adaptive
984,done,3,mpc_central,mpc_agent
985,done,3,mpc_central,mpc_agent_adaptive
986,done,3,dmpc_admm,mpc_agent
987,done,3,dmpc_admm,mpc_agent_adaptive
1124,done,3,mpc_central,mpc_agent
1125,done,3,mpc_central,mpc_agent_adaptive
1126,done,3,dmpc_admm,mpc_agent
1127,done,3,dmpc_admm,mpc_agent_adaptive
1264,done,3,mpc_central,mpc_agent
1265,done,3,mpc_central,mpc_agent_adaptive
1266,done,3,dmpc_admm,mpc_agent
1267,done,3,dmpc_admm,mpc_agent_adaptive
1404,done,3,mpc_central,mpc_agent
1405,done,3,mpc_central,mpc_agent_adaptive
1406,done,3,dmpc_admm,mpc_agent
1407,done,3,dmpc_admm,mpc_agent_adaptive
1544,done,3,mpc_central,mpc_agent
1545,done,3,mpc_central,mpc_agent_adaptive
1546,done,3,dmpc_admm,mpc_agent
1547,done,3,dmpc_admm,mpc_agent_adaptive
1684,done,3,mpc_central,mpc_agent
1685,done,3,mpc_central,mpc_agent_adaptive
1686,done,3,dmpc_admm,mpc_agent
1687,done,3,dmpc_admm,mpc_agent_adaptive
1824,done,3,mpc_central,mpc_agent
1825,done,3,mpc_central,mpc_agent_adaptive
1826,done,3,dmpc_admm,mpc_agent
1827,done,3,dmpc_admm,mpc_agent_adaptive
1964,done,3,mpc_central,mpc_agent
1965,done,3,mpc_central,mpc_agent_adaptive
1966,done,3,dmpc_admm,mpc_agent
1967,done,3,dmpc_admm,mpc_agent_adaptive
2104,done,3,mpc_central,mpc_agent
2105,done,3,mpc_central,mpc_agent_adaptive
2106,done,3,dmpc_admm,mpc_agent
2107,done,3,dmpc_admm,mpc_agent_adaptive
2244,done,3,mpc_central,mpc_agent
2245,done,3,mpc_central,mpc_agent_adaptive
2246,done,3,dmpc_admm,mpc_agent
2247,done,3,dmpc_admm,mpc_agent_adaptive
2384,done,3,mpc_central,mpc_agent
2385,done,3,mpc_central,mpc_agent_adaptive
2386,done,3,dmpc_admm,mpc_agent
2387,done,3,dmpc_admm,mpc_agent_adaptive
2524,done,3,mpc_central,mpc_agent
2525,done,3,mpc_central,mpc_agent_adaptive
2526,done,3,dmpc_admm,mpc_agent
2527,done,3,dmpc_admm,mpc_agent_adaptive
2664,done,3,mpc_central,mpc_agent
2665,done,3,mpc_central,mpc_agent_adaptive
2666,done,3,dmpc_admm,mpc_agent
2667,done,3,dmpc_admm,mpc_agent_adaptive
8,done,4,mpc_central,mpc_agent
9,done,4,mpc_central,mpc_agent_adaptive
10,done,4,dmpc_admm,mpc_agent
11,done,4,dmpc_admm,mpc_agent_adaptive
148,done,4,mpc_central,mpc_agent
149,done,4,mpc_central,mpc_agent_adaptive
150,done,4,dmpc_admm,mpc_agent
151,done,4,dmpc_admm,mpc_agent_adaptive
288,done,4,mpc_central,mpc_agent
289,done,4,mpc_central,mpc_agent_adaptive
290,done,4,dmpc_admm,mpc_agent
291,done,4,dmpc_admm,mpc_agent_adaptive
428,done,4,mpc_central,mpc_agent
429,done,4,mpc_central,mpc_agent_adaptive
430,done,4,dmpc_admm,mpc_agent
431,done,4,dmpc_admm,mpc_agent_adaptive
568,done,4,mpc_central,mpc_agent
569,done,4,mpc_central,mpc_agent_adaptive
570,done,4,dmpc_admm,mpc_agent
571,done,4,dmpc_admm,mpc_agent_adaptive
708,done,4,mpc_central,mpc_agent
709,done,4,mpc_central,mpc_agent_adaptive
710,done,4,dmpc_admm,mpc_agent
711,done,4,dmpc_admm,mpc_agent_adaptive
848,done,4,mpc_central,mpc_agent
849,done,4,mpc_central,mpc_agent_adaptive
850,done,4,dmpc_admm,mpc_agent
851,done,4,dmpc_admm,mpc_agent_adaptive
